#wlgth,rho,drho,rho,drho,rho,drho,rho,drho,rho,drho,rho,drho,mean,stdev
599.94,0.1409,0.0002,0.2087,0.0002,0.2365,7.98E-05,0.1531,0.0001,0.1546,0.0002,0.2024,0.0014,0.1827,0.0384
601.47,0.1414,0.0003,0.2099,0.0002,0.2382,0.0002,0.1547,0.0002,0.1562,0.0002,0.2035,0.0013,0.184,0.0386
603,0.142,0.0002,0.2111,0.0002,0.2398,0.0001,0.1564,0.0002,0.1579,0.0002,0.2049,0.0014,0.1854,0.0387
604.53,0.1426,0.0003,0.2121,0.0002,0.2414,9.19E-05,0.1582,0.0002,0.1595,0.0002,0.2063,0.0014,0.1867,0.0388
606.06,0.1433,0.0003,0.2133,0.0003,0.2427,0.0001,0.1598,0.0002,0.1612,0.0002,0.2076,0.0014,0.188,0.0388
607.59,0.1438,0.0003,0.2144,0.0003,0.2442,0.0001,0.1614,0.0002,0.1629,0.0001,0.209,0.0014,0.1893,0.0389
609.12,0.1446,0.0003,0.2156,0.0003,0.2454,0.0001,0.1632,0.0002,0.1646,0.0003,0.2103,0.0014,0.1906,0.0389
610.65,0.1452,0.0003,0.2167,0.0003,0.2468,9.41E-05,0.1648,0.0002,0.1662,0.0002,0.2115,0.0014,0.1919,0.0389
612.18,0.1461,0.0003,0.2179,0.0003,0.2484,0.0001,0.1665,0.0002,0.1679,0.0001,0.2127,0.0014,0.1933,0.039
613.72,0.1468,0.0003,0.2193,0.0003,0.2501,0.0001,0.168,0.0002,0.1695,0.0002,0.2139,0.0014,0.1946,0.0392
615.25,0.1475,0.0004,0.2208,0.0002,0.252,0.0002,0.1697,0.0002,0.1712,0.0002,0.2151,0.0014,0.1961,0.0394
616.78,0.1481,0.0002,0.2222,0.0003,0.254,0.0002,0.1714,0.0002,0.1729,0.0002,0.2164,0.0015,0.1975,0.0397
618.31,0.1485,0.0003,0.2236,0.0002,0.2559,0.0001,0.1731,0.0002,0.1745,0.0002,0.2177,0.0014,0.1989,0.04
619.84,0.1486,0.0003,0.2252,0.0003,0.2579,0.0001,0.1743,0.0002,0.1758,0.0002,0.2183,0.0015,0.2,0.0405
621.38,0.1489,0.0002,0.2269,0.0003,0.2602,8.95E-05,0.1755,0.0002,0.1772,0.0002,0.2189,0.0015,0.2013,0.0411
622.91,0.1499,0.0003,0.2286,0.0003,0.2634,0.0001,0.1772,0.0002,0.1788,0.0002,0.2205,0.0014,0.2031,0.0416
624.44,0.151,0.0003,0.2299,0.0003,0.2661,0.0002,0.1786,0.0002,0.1802,0.0002,0.2225,0.0014,0.2047,0.0422
625.97,0.1514,0.0003,0.231,0.0003,0.2671,0.0001,0.1802,0.0002,0.1817,0.0002,0.2241,0.0015,0.2059,0.0422
627.51,0.152,0.0003,0.2319,0.0003,0.2673,0.0002,0.1823,0.0002,0.1839,0.0002,0.2247,0.0014,0.207,0.0418
629.04,0.1527,0.0002,0.2325,0.0003,0.2685,0.0001,0.185,0.0002,0.1866,0.0002,0.2258,0.0015,0.2085,0.0415
630.58,0.1532,0.0003,0.2325,0.0003,0.27,0.0001,0.1873,0.0002,0.189,0.0003,0.2276,0.0015,0.2099,0.0415
632.11,0.1534,0.0004,0.2327,0.0003,0.2709,0.0002,0.189,0.0002,0.1908,0.0002,0.2294,0.0015,0.211,0.0415
633.64,0.1533,0.0004,0.2333,0.0004,0.2717,0.0001,0.1905,0.0002,0.1921,0.0002,0.2314,0.0015,0.2121,0.0417
635.18,0.1537,0.0003,0.2332,0.0003,0.2729,0.0002,0.1924,0.0002,0.1942,0.0003,0.233,0.0014,0.2132,0.0417
636.71,0.1549,0.0003,0.2329,0.0003,0.2747,0.0001,0.1947,0.0002,0.1965,0.0002,0.2344,0.0016,0.2147,0.0415
638.25,0.1564,0.0004,0.2328,0.0003,0.2764,0.0001,0.1966,0.0002,0.1985,0.0003,0.2359,0.0015,0.2161,0.0414
639.78,0.1579,0.0005,0.2328,0.0003,0.2775,0.0002,0.198,0.0002,0.2001,0.0003,0.2376,0.0016,0.2173,0.0412
641.32,0.159,0.0003,0.2329,0.0003,0.2778,5.23E-05,0.1995,0.0002,0.2015,0.0003,0.2393,0.0015,0.2183,0.0409
642.86,0.16,0.0004,0.2329,0.0003,0.2778,0.0001,0.2013,0.0002,0.2032,0.0002,0.2405,0.0015,0.2193,0.0404
644.39,0.1611,0.0004,0.2325,0.0003,0.2785,8.06E-05,0.2034,0.0002,0.2055,0.0002,0.2419,0.0015,0.2205,0.04
645.93,0.1619,0.0003,0.232,0.0002,0.2801,0.0001,0.2062,0.0002,0.2081,0.0002,0.2433,0.0015,0.2219,0.0399
647.46,0.1617,0.0003,0.2317,0.0003,0.2819,0.0001,0.2088,0.0002,0.2108,0.0002,0.2441,0.0016,0.2232,0.0402
649,0.1617,0.0003,0.2321,0.0003,0.2837,8.69E-05,0.2106,0.0003,0.2124,0.0003,0.2456,0.0015,0.2243,0.0407
650.54,0.1618,0.0003,0.2322,0.0003,0.2845,0.0001,0.2122,0.0002,0.2141,0.0003,0.2475,0.0016,0.2254,0.0409
652.08,0.1625,0.0004,0.232,0.0003,0.2848,6.73E-05,0.2138,0.0003,0.2158,0.0003,0.2491,0.0015,0.2263,0.0408
653.61,0.1637,0.0004,0.2323,0.0003,0.2861,0.0001,0.2159,0.0002,0.218,0.0003,0.2508,0.0016,0.2278,0.0407
655.15,0.1645,0.0004,0.2323,0.0003,0.2873,7.05E-05,0.2179,0.0003,0.22,0.0003,0.2524,0.0016,0.2291,0.0408
656.69,0.1652,0.0003,0.2323,0.0003,0.2883,5.48E-05,0.2199,0.0002,0.222,0.0003,0.2537,0.0016,0.2302,0.0408
658.23,0.1657,0.0004,0.2322,0.0003,0.2893,9.08E-05,0.222,0.0002,0.224,0.0003,0.2551,0.0017,0.2314,0.0409
659.77,0.1665,0.0003,0.2322,0.0003,0.2905,6.47E-05,0.2241,0.0002,0.226,0.0003,0.2564,0.0016,0.2326,0.041
661.3,0.1671,0.0004,0.2324,0.0003,0.2917,0.0001,0.2261,0.0002,0.228,0.0003,0.2577,0.0016,0.2338,0.0412
662.84,0.1678,0.0003,0.2327,0.0003,0.293,9.36E-05,0.2282,0.0003,0.2301,0.0003,0.2592,0.0017,0.2352,0.0414
664.38,0.1684,0.0004,0.2331,0.0003,0.2942,9.75E-05,0.2303,0.0002,0.2322,0.0003,0.2607,0.0017,0.2365,0.0415
665.92,0.169,0.0004,0.2336,0.0003,0.2953,7.38E-05,0.2323,0.0003,0.2343,0.0003,0.2621,0.0017,0.2378,0.0417
667.46,0.1696,0.0004,0.2347,0.0003,0.2967,7.16E-05,0.2343,0.0003,0.2364,0.0003,0.2638,0.0017,0.2392,0.042
669,0.1705,0.0003,0.2359,0.0003,0.2981,6.94E-05,0.2364,0.0003,0.2385,0.0003,0.265,0.0017,0.2408,0.0421
670.54,0.1714,0.0003,0.2376,0.0003,0.2999,0.0001,0.2386,0.0003,0.2407,0.0003,0.2665,0.0017,0.2424,0.0424
672.08,0.1721,0.0003,0.2395,0.0003,0.3019,4.88E-05,0.2408,0.0003,0.2428,0.0003,0.2682,0.0017,0.2442,0.0427
673.62,0.1729,0.0004,0.2422,0.0004,0.3039,9.67E-05,0.243,0.0003,0.245,0.0003,0.2697,0.0017,0.2461,0.0431
675.16,0.1737,0.0003,0.2454,0.0004,0.3062,9.57E-05,0.2452,0.0003,0.2472,0.0003,0.2716,0.0017,0.2482,0.0435
676.71,0.1746,0.0004,0.2491,0.0004,0.309,8.11E-05,0.2475,0.0003,0.2495,0.0003,0.2733,0.0017,0.2505,0.0441
678.25,0.1755,0.0003,0.2535,0.0004,0.3121,0.0001,0.2498,0.0003,0.2519,0.0003,0.2752,0.0018,0.253,0.0447
679.79,0.1765,0.0004,0.2589,0.0004,0.3157,0.0001,0.2522,0.0003,0.2543,0.0004,0.2772,0.0017,0.2558,0.0455
