         134227839 function calls (133581560 primitive calls) in 566.056 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    26304    0.020    0.000    0.020    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:280(calc_emiss_atm)
   105216    0.020    0.000    0.020    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\nanfunctions.py:553(_nansum_dispatcher)
     1096    0.018    0.000    0.044    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1633(getitem_mgr)
      139    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
    26304    0.016    0.000    0.016    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:324(calc_mixing_ratio)
       12    0.016    0.001    0.016    0.001 {method 'take' of 'numpy.ndarray' objects}
    26334    0.016    0.000    0.020    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\numeric.py:1865(isscalar)
     4390    0.016    0.000    0.028    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
     1096    0.015    0.000    0.124    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:4359(_reduce)
       10    0.015    0.001    0.015    0.001 {built-in method _imp.create_dynamic}
      601    0.014    0.000    0.014    0.000 {built-in method nt.stat}
     1120    0.014    0.000    0.025    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\generic.py:5435(__finalize__)
     1096    0.014    0.000    0.031    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\model.py:73(phi_fall)
      294    0.014    0.000    0.014    0.000 {built-in method nt._getfinalpathname}
   109231    0.013    0.000    0.013    0.000 {built-in method builtins.issubclass}
     1096    0.012    0.000    0.082    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\nanops.py:83(_f)
     1096    0.011    0.000    0.016    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:3687(_convert_slice_indexer)
  240/120    0.011    0.000    0.019    0.000 C:\Users\liuha\anaconda3\lib\sre_parse.py:493(_parse)
     1096    0.010    0.000    0.119    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:1024(_get_values)
     3146    0.010    0.000    0.021    0.000 {built-in method builtins.any}
     1096    0.010    0.000    0.149    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\generic.py:10324(_stat_function)
        2    0.009    0.004    0.022    0.011 C:\Users\liuha\anaconda3\lib\site-packages\matplotlib\font_manager.py:1311(_findfont_cached)
     1096    0.009    0.000    0.037    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\numeric.py:235(_convert_slice_indexer)
      695    0.009    0.000    0.022    0.000 C:\Users\liuha\anaconda3\lib\inspect.py:2112(_signature_from_function)
     4390    0.008    0.000    0.009    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
     1117    0.008    0.000    0.041    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:315(__init__)
     2203    0.008    0.000    0.030    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\numeric.py:75(zeros_like)
  827/677    0.008    0.000    0.113    0.000 {built-in method builtins.__build_class__}
        1    0.008    0.008   23.879   23.879 C:\Users\liuha\Desktop\TBM_3.0\src\model\data.py:17(__init__)
     1096    0.007    0.000    0.045    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\nanops.py:119(f)
     1120    0.007    0.000    0.010    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\generic.py:233(__init__)
       16    0.007    0.000    0.008    0.001 C:\Users\liuha\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:699(_icon)
        2    0.007    0.003    0.024    0.012 C:\Users\liuha\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:530(__init__)
        2    0.007    0.003    0.007    0.003 C:\Users\liuha\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:96(_create_qApp)
       28    0.007    0.000    0.036    0.001 C:\Users\liuha\anaconda3\lib\site-packages\matplotlib\__init__.py:709(_rc_params_in_file)
     1112    0.007    0.000    0.015    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:4587(__getitem__)
