wavelength	RSR_412	RSR_443	RSR_469	RSR_488	RSR_531	RSR_551	RSR_555	RSR_645	RSR_667	RSR_678	RSR_748	RSR_859	RSR_869	RSR_1240	RSR_1640	RSR_2130
477	0.00038222	5.02E-05	0.27701	0.0074141	0.0003155	0.00017978	0	0	6.15E-06	3.62E-06	2.95E-06	0	4.92E-06	0	0	0
478	0.00040266	5.32E-05	0.15092	0.020897	0.0003316	0.00017488	0	0	5.76E-06	3.37E-06	2.85E-06	0	4.46E-06	0	0	0
479	0.00042311	5.63E-05	0.07036	0.066021	0.0003477	0.00016997	0	0	5.37E-06	3.13E-06	2.74E-06	0	4.00E-06	0	0	0
480	0.00044355	5.94E-05	0.02998	0.15956	0.0003638	0.00016507	0	0	4.98E-06	2.88E-06	2.63E-06	0	3.55E-06	0	0	0
481	0.00050944	6.54E-05	0.01299	0.3206	0.00037588	0.00017835	0	0	5.13E-06	3.07E-06	2.61E-06	0	3.74E-06	0	0	0
482	0.00057534	7.15E-05	0	0.55518	0.00038796	0.00019164	0	0	5.28E-06	3.26E-06	2.58E-06	0	3.92E-06	0	0	0
483	0.00064124	7.76E-05	0	0.78134	0.00040004	0.00020492	0	0	5.42E-06	3.44E-06	2.55E-06	0	4.11E-06	0	0	0
484	0.00070713	8.37E-05	0	0.90012	0.00041212	0.0002182	0	0	5.57E-06	3.63E-06	2.53E-06	0	4.30E-06	0	0	0
485	0.00077302	8.98E-05	0	0.94806	0.00042419	0.00023148	0	0	5.72E-06	3.82E-06	2.50E-06	0	4.49E-06	0	0	0
486	0.00083892	9.58E-05	0	0.97428	0.00043627	0.00024477	0	0	5.86E-06	4.01E-06	2.47E-06	0	4.67E-06	0	0	0
487	0.00090482	0.00010191	0	0.98958	0.00044835	0.00025805	0	0	6.01E-06	4.20E-06	2.45E-06	0	4.86E-06	0	0	0
488	0.00097071	0.00010799	0	0.99865	0.00046043	0.00027133	0	0	6.16E-06	4.39E-06	2.42E-06	0	5.05E-06	0	0	0
489	0.0010366	0.00011407	0	0.9986	0.00047251	0.00028462	0	0	6.30E-06	4.57E-06	2.39E-06	0	5.24E-06	0	0	0
490	0.0011025	0.00012015	0	0.95485	0.00048459	0.0002979	0	0	6.45E-06	4.76E-06	2.36E-06	0	5.42E-06	0	0	0
491	0.0012505	0.000123	0	0.83547	0.00050416	0.00030813	0	0	6.91E-06	4.96E-06	2.32E-06	0	5.52E-06	0	0	0
492	0.0013984	0.00012585	0	0.61381	0.00052373	0.00031836	0	0	7.37E-06	5.17E-06	2.28E-06	0	5.62E-06	0	0	0
493	0.0015464	0.00012869	0	0.32366	0.0005433	0.00032859	0	0	7.83E-06	5.37E-06	2.24E-06	0	5.71E-06	0	0	0
494	0.0016943	0.00013154	0	0.10139	0.00056287	0.00033882	0	0	8.28E-06	5.58E-06	2.20E-06	0	5.81E-06	0	0	0
495	0.0018423	0.00013439	0	0.022323	0.00058243	0.00034905	0	0	8.74E-06	5.78E-06	2.15E-06	0	5.90E-06	0	0	0
496	0.0019902	0.00013724	0	0.0047472	0.000602	0.00035927	0	0	9.20E-06	5.98E-06	2.11E-06	0	6.00E-06	0	0	0
497	0.0021381	0.00014009	0	0.0013157	0.00062157	0.0003695	0	0	9.66E-06	6.19E-06	2.07E-06	0	6.10E-06	0	0	0
498	0.0022861	0.00014293	0	0.0004778	0.00064114	0.00037973	0	0	1.01E-05	6.39E-06	2.03E-06	0	6.19E-06	0	0	0
499	0.0024341	0.00014578	0	0.00024317	0.00066071	0.00038996	0	0	1.06E-05	6.59E-06	1.98E-06	0	6.29E-06	0	0	0
500	0.002582	0.00014863	0	8.13E-05	0.00068028	0.00040019	0	0	1.10E-05	6.80E-06	1.94E-06	0	6.39E-06	0	0	0
501	0.002733	0.00015591	0	0.00010091	0.00073218	0.00041986	0	0	1.03E-05	6.80E-06	2.06E-06	0	6.29E-06	0	0	0
502	0.002884	0.00016319	0	6.84E-05	0.00078408	0.00043952	0	0	9.55E-06	6.81E-06	2.17E-06	0	6.19E-06	0	0	0
503	0.003035	0.00017046	0	8.84E-05	0.00083599	0.00045919	0	0	8.81E-06	6.81E-06	2.29E-06	0	6.09E-06	0	0	0
504	0.003186	0.00017774	0	9.67E-05	0.00088789	0.00047885	0	0	8.07E-06	6.82E-06	2.40E-06	0	5.99E-06	0	0	0
505	0.0033371	0.00018502	0	0.00010397	0.00093979	0.00049851	0	0	7.33E-06	6.82E-06	2.52E-06	0	5.89E-06	0	0	0
506	0.0034881	0.0001923	0	0.00011124	0.00099169	0.00051818	0	0	6.59E-06	6.82E-06	2.63E-06	0	5.79E-06	0	0	0
507	0.0036391	0.00019958	0	0.00011852	0.0010436	0.00053785	0	0	5.85E-06	6.83E-06	2.75E-06	0	5.69E-06	0	0	0
508	0.0037901	0.00020685	0	0.00012579	0.0010955	0.00055751	0	0	5.11E-06	6.83E-06	2.86E-06	0	5.59E-06	0	0	0
509	0.0039411	0.00021413	0	0.00013307	0.0011474	0.00057718	0	0	4.37E-06	6.84E-06	2.98E-06	0	5.49E-06	0	0	0
510	0.0040921	0.00022141	0	0.00014034	0.0011993	0.00059684	0	0	3.63E-06	6.84E-06	3.09E-06	0	5.39E-06	0	0	0
511	0.0038679	0.00024409	0	0.00013856	0.0010411	0.00062542	0	0	3.90E-06	6.56E-06	2.95E-06	0	5.24E-06	0	0	0
512	0.0036436	0.00026678	0	0.00013677	0.00088287	0.00065401	0	0	4.17E-06	6.29E-06	2.81E-06	0	5.08E-06	0	0	0
513	0.0034194	0.00028947	0	0.00013499	0.00072465	0.00068259	0	0	4.45E-06	6.01E-06	2.66E-06	0	4.93E-06	0	0	0
514	0.0031951	0.00031215	0	0.0001332	0.00056643	0.00071118	0	0	4.72E-06	5.73E-06	2.52E-06	0	4.78E-06	0	0	0
515	0.0029709	0.00033484	0	0.00013142	0.00040822	0.00073976	0	0	5.00E-06	5.45E-06	2.37E-06	0	4.62E-06	0	0	0
516	0.0027466	0.00035752	0	0.00012964	0.00025	0.00076834	0	0	5.27E-06	5.17E-06	2.23E-06	0	4.47E-06	0	0	0
517	0.0025224	0.0003802	0	0.00012785	0.00079841	0.00079693	0	0	5.54E-06	4.89E-06	2.09E-06	0	4.31E-06	0	0	0
518	0.0022981	0.00040289	0	0.00012607	0.001599	0.00082551	0	0	5.82E-06	4.61E-06	1.94E-06	0	4.16E-06	0	0	0
519	0.0020739	0.00042558	0	0.00012428	0.0045	0.0008541	0	0	6.09E-06	4.33E-06	1.80E-06	0	4.01E-06	0	0	0
520	0.0018496	0.00044826	0	0.0001225	0.014796	0.00088268	0	0	6.36E-06	4.06E-06	1.66E-06	0	3.85E-06	0	0	0
521	0.0017151	0.0004515	0	0.00012435	0.056382	0.00095248	0	0	6.16E-06	4.06E-06	1.72E-06	0	4.09E-06	0	0	0
522	0.0015807	0.00045474	0	0.0001262	0.15726	0.0010223	0	0	5.96E-06	4.06E-06	1.78E-06	0	4.33E-06	0	0	0
523	0.0014462	0.00045798	0	0.00012805	0.32564	0.0010921	0	0	5.76E-06	4.06E-06	1.85E-06	0	4.57E-06	0	0	0
524	0.0013117	0.00046122	0	0.0001299	0.54394	0.0011619	0	0	5.56E-06	4.06E-06	1.91E-06	0	4.81E-06	0	0	0
525	0.0011772	0.00046445	0	0.00013175	0.7625	0.0012317	0	0	5.36E-06	4.06E-06	1.98E-06	0	5.05E-06	0	0	0
526	0.0010428	0.00046769	0	0.00013359	0.93299	0.0013015	0	0	5.16E-06	4.06E-06	2.04E-06	0	5.29E-06	0	0	0
527	0.00090831	0.00047093	0	0.00013544	0.97623	0.0013713	0	0	4.95E-06	4.07E-06	2.11E-06	0	5.53E-06	0	0	0
528	0.00077384	0.00047417	0	0.00013729	0.97176	0.0014411	0	0	4.75E-06	4.07E-06	2.17E-06	0	5.76E-06	0	0	0
529	0.00063937	0.00047741	0	0.00013914	0.98858	0.0015109	0	0	4.55E-06	4.07E-06	2.24E-06	0	6.00E-06	0	0	0
530	0.0005049	0.00048065	0	0.00014099	0.99901	0.0015807	0	0	4.35E-06	4.07E-06	2.30E-06	0	6.24E-06	0	0	0
531	0.00051281	0.00048974	0	0.00014688	0.98176	0.00167	0	0	4.28E-06	4.15E-06	2.30E-06	0	5.92E-06	0	0	0
532	0.00052072	0.00049884	0	0.00015278	0.93933	0.0017593	0	0	4.22E-06	4.24E-06	2.30E-06	0	5.59E-06	0	0	0
533	0.00052862	0.00050793	0	0.00015867	0.86754	0.0018486	0	0	4.15E-06	4.32E-06	2.30E-06	0	5.26E-06	0	0	0
534	0.00053653	0.00051703	0	0.00016456	0.77042	0.0019379	0	0	4.08E-06	4.41E-06	2.30E-06	0	4.93E-06	0	0	0
535	0.00054444	0.00052612	0	0.00017046	0.63643	0.0020271	0	0	4.02E-06	4.49E-06	2.30E-06	0	4.60E-06	0	0	0
